SUBREGION1,NAME,GL_TYPE
NW,UMIAMMAKKU_ISBRAE,TW
CE,GEIKIE_UNNAMED_VESTFORD_S,TW
CW,RINK_ISBRAE,TW
CW,KANGERLUSSUUP_SERMERSUA,TW
CW,CW_NONAME3,LT
CW,SERMEQ_SILARLEQ,TW
CW,CW_NONAME2,TW
CW,LILLE_GLETSCHER,TW
CW,STORE_GLETSCHER,TW
CW,SERMEQ_AVANNARLEQ2,TW
SW,USULLUUP_SERMIA,LT
SW,INUPPAAT_QUUAT,LT
SW,KANGILINNGUATA_SERMIA,LT
SW,NARSAP_SERMIA,TW
SW,AKULLERSUUP-QAMANAARSUUP,TW
SW,KANGIATA_NUNAATA_SERMIA,TW
SW,SW_NONAME1,LT
SW,SERMEQ-KANGAASARSUUP,LT
SW,AVANNARLEQ-NIGERLIKASIK,TW
SW,SERMILIGAARSSUK_BRAE,TW
SW,QAJUUTTAP_SERMIA,TW
SW,KIATTUUT-QOOQQUP,TW
NW,INNGIA_ISBRAE,TW
NW,NW_NONAME1,LT
NW,UPERNAVIK_ISSTROM_SS,TW
NW,NUNATAKASSAAP_SERMIA,TW
NW,KAKIVFAAT_SERMIAT,TW
NW,QEQERTARSUUP_SERMIA,TW
NW,USSING_BRAEER,TW
NW,USSING_BRAEER_N,TW
NW,CORNELL_GLETSCHER,TW
NW,ILLULLIP_SERMIA,TW
NW,ALISON_GLETSCHER,TW
NW,HAYES_GLETSCHER_M_SS,TW
NW,KJER_GLETSCHER,TW
NW,SVERDRUP_GLETSCHER,TW
NW,NANSEN_GLETSCHER,TW
NW,STEENSTRUP-DIETRICHSON,TW
NO,STORM,TW
SW,SAQQAP-MAJORQAQ-SOUTHTERRUSSEL_SOUTHQUARUSSEL,LT
NW,NORDENSKIOLD_GLESCHER_NW,TW
NW,NONAME_NORTH_OSCAR,TW
NW,ISSUUARSUIT_SERMIA,TW
NW,RINK_GLETSCHER,TW
NW,CARLOS,TW
NW,LEIDY-MARIE-SERMIARSUPALUK,LT
NW,HEILPRIN_GLETSCHER,TW
NW,TRACY_GLETSCHER,TW
NW,HARALD_MOLTKE_BRAE,TW
NO,HUMBOLDT_GLETSCHER,TW
NO,NO_NONAME1,LT
NO,NEWMAN_BUGT,LT
NO,RYDER_GLETSCHER,TW
NO,NO_NONAME2,LT
NO,MARIE_SOPHIE_GLETSCHER,TW
NO,ACADEMY,TW
NO,NO_NONAME3,LT
NE,NIOGHALVFJERDSFJORDEN,TW
NE,ZACHARIAE_ISSTROM,TW
CE,DAUGAARD-JENSEN,TW
CE,EIELSON_HARE_FJORD-ROLIGE,TW
CE,UNNAMED_KANGER_W,TW
SE,HELHEIMGLETSCHER,TW
SE,IKERTIVAQ_NN,TW
SE,MOGENS_HEINESEN_S,TW
SE,NAPASORSUAQ_C_S,TW
SE,KOGE_BUGT_SS,TW
SE,KOGE_BUGT_N,TW
SW,UKAASORSUAQ,TW
SW,FREDERIKSHABS-NAKKAASORSUAQ,LT
SW,ISUNNGUATA-RUSSELL,LT
CW,EQIP_SERMIA,TW
SE,SE_NONAME2,TW
CE,KONG_CHRISTIAN,TW
CE,SORGENFRI,TW
CE,VESTFJORD,TW
NO,JUNGERSEN_HENSON_NARAVANA,LT
NW,DOCKER_SMITH_GLETSCHER,TW
SE,SE_NONAME4,TW
SE,TINGMIARMIUT_FJORD,TW
CW,SERMEQ_KUJALLEQ,TW
CW,KANGILERNGATA_SERMIA,TW
SE,GRAULV,TW
NO,OSTENFELD_GLETSCHER,TW
CW,KANGERLUARSUUP_SERMIA,TW
NW,UPERNAVIK_ISSTROM_N,TW
NE,WORDIE-VIBEKE,TW
SE,SE_NONAME1,TW
SE,SE_NONAME5,TW
SE,SE_NONAME6,TW
SE,SE_NONAME7,TW
SE,SE_NONAME8,TW
SE,FENRISGLETSCHER,TW
SE,MIDGARDGLETSCHER,TW
CE,UNNAMED_DECEPTION_O_CN_CS,TW
CE,KIV_STEENSTRUP_NODRE_BRAE,TW
CE,UNNAMED_KANGER_E,TW
CE,MAGGA_DAN_GLETSCHER,TW
CE,GEIKIE1,LT
CE,FREDERIKSBORG_GLETSCHER,TW
CE,UNNAMED_SORGENFRI_W,LT
CE,KANGERLUSSUAQ,TW
NW,FARQUHAR_GLETSCHER,TW
NW,MELVILLE_GLETSCHER,TW
NW,SHARP,TW
SE,KOGE_BUGT_C,TW
SE,PUISORTOQ_N,TW
SE,MOGENS_HEINESEN_SS_SSS,TW
NO,HARDER_GLETSCHER,TW
SE,UNNAMED_SOUTH_DANELL_FJORD,TW
SE,SOUTHERN_TIP,TW
SE,HERLUF_TROLLE-KANGERLULUK-DANELL,TW
SE,UNNAMED_KANGERLULUK,TW
SE,UNNAMED_HERLUF_TROLLE_S,TW
SE,UNNAMED_HERLUF_TROLLE_N,TW
SE,UNNAMED_ANORITUUP_KANGERLUA_SS,TW
SE,ANORITUUP_KANGERLUA,TW
SE,UNNAMED_ANORITUUP_KANGERLUA_S,TW
SE,SE_NONAME9,TW
SE,UNNAMED_DANELL_FJORD,TW
SE,MAELKEVEJEN,TW
CE,UNNAMED_LAUBE_S,TW
CE,LAUBE_GLETSCHER,TW
CE,UNNAMED_POLARIC_S,TW
SE,HEIMDAL_GLETSCHER,TW
SE,SKINFAXE,TW
NW,KONG_OSCAR_GLETSCHER,TW
SE,FIMBULGETLSCHER,TW
NE,BLSEBR_GAMMEL_HELLERUP_GLETSJER,TW
SW,QAJUUTTAP_SERMIA_N,LT
SW,SIORALIK-ARSUK-QIPISAQQU,LT
SW,SERMILIK,TW
SW,ILORLIIT-SERMINNGUAQ,LT
SW,EQALORUTSIT_KILLIIT_SERMIAT,TW
SW,QALERALLIT_SERMIAT,TW
SW,NAAJAT_SERMIAT,TW
SW,AVANNARLEQ_N,LT
NE,ADOLF_HOEL,TW
NE,WALTERSHAUSEN,TW
NE,GERARD_DE_GEER,TW
NE,JAETTEGLETSCHER,TW
NE,NORDENSKIOLD_NE,TW
NE,PASSAGE_CHARPENTIER_GLETSCHER,LT
NE,HISINGER_GLETSCHER,TW
NE,WAHLENBERG_VIOLINGLETSJER,LT
NO,STEENSBY_GLETSCHER,TW
NW,GADE-MORELL,TW
NW,DOCKER_SMITH_GLETSCHER_W,TW
CE,GEIKIE4,TW
CE,ROSENBORG,TW
CE,KRONBORG,TW
CE,BORGGRAVEN,TW
CE,SYDBR,TW
CE,BREDEGLETSJER,TW
CE,GEIKIE2,LT
CE,GEIKIE3,TW
CE,GEIKIE6,TW
CE,DENDRITGLETSCHER,TW
NW,SHARP_W,LT
NW,HART,TW
NW,HART_W,LT
NW,HUBBARD,TW
NW,GABLE_MIRROR,LT
NW,BOWDOIN,TW
NW,SUN,TW
NW,SUN_W,LT
NW,VERHOEFF,TW
NW,VERHOEFF_W,LT
NW,MEEHAN,TW
NW,MEEHAN_W,LT
NW,SIORARSUAQ,LT
NW,MORRIS_JESUP,TW
NW,MORRIS_JESUP_W,LT
NW,DIEBITSCH,TW
NW,BAMSE,TW
NO,DODGE,LT
NW,SAVISSUAQ_UNNAMED1,TW
NW,SAVISSUAQ_WWWWW,TW
NW,SAVISSUAQ_UNNAMED2,TW
NW,NW_NONAME2,TW
NW,PITUGFIK,TW
NW,SAVISSUAQ_UNNAMED3,TW
NW,SAVISSUAQ_WWWW,TW
NW,SAVISSUAQ_UNNAMED4,TW
NW,SAVISSUAQ,TW
SE,NONAME_IKERTIVAQ_N,TW
SE,APUSEERAJIK,TW
SE,NONAME_IKERTIVAQ_S,TW
SE,KOGE_BUGT_S,TW
SE,UMIIVIK_FJORD,TW
SE,APUSEERSERPIA,TW
SE,GYLDENLOVE,TW
SE,RIMFAXE,TW
NW,SAVISSUAQ-HELLAND-YNGVAR_NIELSEN-MOHN-CARLOS,TW
NW,YNGVAR_NIELSEN_BRAE_W,TW
NW,HELLAND,TW
NW,YNGVAR_NIELSEN_BRAE,TW
NW,MOHN_GLETSJER,TW
SE,HEIM_GLETSCHER,TW
SE,BRCKNER_GLETSCHER,TW
SE,SE_NONAME10,LT
SE,BUSSEMAND,LT
CE,F_GRAAE,TW
CE,CHARCOT,TW
CE,GEIKIE5,TW
CE,SORTEBRAE,TW
NW,UPERNAVIK_ISSTROM_C,TW
NW,UPERNAVIK_ISSTROM_S,TW
SE,PUISORTOQ_S,TW
SE,NAPASORSUAQ_N,TW
SE,IKERTIVAQ_N,TW
SE,IKERTIVAQ_M,TW
SE,IKERTIVAQ_S,TW
NW,HAYES_GLETSCHER_N_NN,TW
NO,BRIKKERNE_GLETSCHER,TW
NO,HAGEN_BRAE,TW
NE,NE_NONAME1,LT
CW,JAKOBSHAVN_ISBRAE,TW
CW,SAQQARLIUP_ALANGORLIUP,TW
CW,NORDENSKIOLD_GLETSCHER,LT
CW,CW_NONAME1,LT
CW,SERMEQ_AVANNARLEQ,TW
NO,PETERMANN_GLETSCHER,TW
NO,PETERMANN_GLETSCHER_N,TW
NW,TUGTO,LT
SW,ICE_CAPS_SW,TW
NO,ICE_CAPS_NO,TW
NW,ICE_CAPS_NW,TW
NE,ICE_CAPS_NE,TW
CW,ICE_CAPS_CW,TW
SE,MOGENS_HEINESEN_C,TW
SE,GYLDENLOVE_SS,TW
SE,AP_BERNSTOFF_GLETSCHER,TW
CE,GEIKIE7,TW
CE,UNNAMED_POLARIC_C,TW
CE,KIV_STEENSTRUP_SONDRE_BRAE,TW
SE,GYLDENLOVE_S,TW
NW,NW_NONAME3,TW
NW,SAVISSUAQ_W,TW
NW,SAVISSUAQ_WW,TW
NW,NW_NONAME4,TW
NW,SAVISSUAQ_WWW,TW
SE,MOGENS_HEINESEN_N,TW
NE,AB_DRACHMANN_GLETSCHER_L_BISTRUP_BRAE,TW
NE,SORANERBRAEEN-EINAR_MIKKELSEN-HEINKEL-TVEGEGLETSCHER-PASTERZE,TW
NE,STORSTROMMEN,TW
NE,ADMIRALTY_TREFORK_KRUSBR_BORGJKEL_PONY,TW
CE,UNNAMED_UUNARTIT_ISLANDS,TW
CE,POLARIC-DECEPTION_O_N,TW
CE,NORDFJORD,TW
CE,STYRTE,TW
CE,COURTAULD,TW
CE,KOLVEGLETSJER,TW
CE,UNNAMED_DECEPTION_N,TW
CE,KRUUSE_FJORD,TW
CE,ICE_CAPS_CE,TW
SE,GLACIERDEFRANCE,TW
SE,KNUD-RASMUSSEN,TW
SE,NIGERTULUUP_KATTILERTARPIA,TW
SE,ICE_CAPS_SE,TW
